CaptureDate,CaptureTime,LinkID,VehicleGroup,PatchType,Duration,Observations,,,,,,,,
2011/1/2,19200,1309,1002,0,319,8,,,,,,,,
2011/1/2,19500,1309,1002,0,299,6,,,,,,,,
2011/1/2,19800,1309,1002,0,290,8,,,,,,,,
2011/1/2,20100,1309,1002,0,298,10,,,,,,,,
2011/1/2,20400,1309,1002,0,363,4,,,,,,,,
2011/1/2,20700,1309,1002,0,314,5,,,,,,,,
2011/1/2,21000,1309,1002,0,264,7,,,,,,,,
2011/1/2,21300,1309,1002,0,295,7,,,,,,,,
2011/1/2,21600,1309,1002,0,283,7,,,,,,,,
2011/1/2,21900,1309,1002,0,311,16,,,,,,,,
2011/1/2,22200,1309,1002,0,259,6,,,,,,,,
2011/1/2,22500,1309,1002,0,297,7,,,,,,,,
2011/1/2,22800,1309,1002,0,341,12,,,,,,,,
2011/1/2,23100,1309,1002,0,356,10,,,,,,,,
2011/1/2,23400,1309,1002,0,327,11,,,,,,,,
2011/1/2,23700,1309,1002,0,365,9,,,,,,,,
2011/1/2,24000,1309,1002,0,318,5,,,,,,,,
2011/1/2,24300,1309,1002,0,335,6,,,,,,,,
2011/1/2,24600,1309,1002,0,314,5,,,,,,,,
2011/1/2,24900,1309,1002,0,325,19,,,,,,,,
2011/1/2,25200,1309,1002,0,374,11,,,,,,,,
2011/1/2,25500,1309,1002,0,329,7,,,,,,,,
2011/1/2,25800,1309,1002,0,333,10,,,,,,,,
2011/1/2,26100,1309,1002,0,322,10,,,,,,,,
2011/1/2,26400,1309,1002,0,336,8,,,,,,,,
2011/1/2,26700,1309,1002,0,294,14,,,,,,,,
2011/1/2,27000,1309,1002,0,317,16,,,,,,,,
2011/1/2,27300,1309,1002,0,319,13,,,,,,,,
2011/1/2,27600,1309,1002,0,308,10,,,,,,,,
2011/1/2,27900,1309,1002,0,297,8,,,,,,,,
2011/1/2,28200,1309,1002,0,323,12,,,,,,,,
2011/1/2,28500,1309,1002,0,314,7,,,,,,,,
2011/1/2,28800,1309,1002,0,323,11,,,,,,,,
2011/1/2,29100,1309,1002,0,289,9,,,,,,,,
2011/1/2,29400,1309,1002,0,330,12,,,,,,,,
2011/1/2,29700,1309,1002,0,312,11,,,,,,,,
2011/1/2,30000,1309,1002,0,317,11,,,,,,,,
2011/1/2,30300,1309,1002,0,337,7,,,,,,,,
2011/1/2,30600,1309,1002,0,371,7,,,,,,,,
2011/1/2,30900,1309,1002,0,347,15,,,,,,,,
2011/1/2,31200,1309,1002,0,363,11,,,,,,,,
2011/1/2,31500,1309,1002,0,341,11,,,,,,,,
2011/1/2,31800,1309,1002,0,342,13,,,,,,,,
2011/1/2,32100,1309,1002,0,344,17,,,,,,,,
2011/1/2,32400,1309,1002,0,313,14,,,,,,,,
2011/1/2,32700,1309,1002,0,328,11,,,,,,,,
2011/1/2,33000,1309,1002,0,347,14,,,,,,,,
2011/1/2,33300,1309,1002,0,353,13,,,,,,,,
2011/1/2,33600,1309,1002,0,322,13,,,,,,,,
2011/1/2,33900,1309,1002,0,330,13,,,,,,,,
2011/1/2,34200,1309,1002,0,305,14,,,,,,,,
